DATE_year,DATE_month,DATE_day,DATE_hour,DATE_minute,DATE_second,GPS_alt,APEN_z,GIMS_roll,GIMS_pitch,GIM1_ym,APEG_gla,APEG_glo
2024,12,28,13,30,36,120045.2499389648,55555,,-12.56,50.1,30.06717109680176,106.6975250244141
2024,12,28,13,30,38,119952.0034790039,55555,,-11.37,50.3,30.06725311279297,106.6976165771484
2024,12,28,13,30,40,120153.450012207,55555,,-11.42,50.2,30.06728935241699,106.6977310180664
2024,12,28,13,30,42,120087.2344970703,55555,,-11.11,50.48,30.06728744506836,106.6978912353516
2024,12,28,13,30,44,120075.9811401367,55555,,-11.11,50.5,30.06728744506836,106.6980590820312
2024,12,28,13,30,46,120072.7005004883,55555,,-11.5,50.44,30.06728744506836,106.6982727050781
2024,12,28,13,30,48,120026.5121459961,55555,,-10.91,50.46,30.06728744506836,106.6984100341797
2024,12,28,13,30,50,119975.1815795898,55555,,-12.25,50.35,30.06731033325195,106.6985321044922
2024,12,28,13,30,52,119965.8584594727,55555,,-12.25,50.35,30.06736946105957,106.6986846923828
2024,12,28,13,30,54,120038.6734008789,55555,,-12.25,50.35,30.06743049621582,106.6988372802734
2024,12,28,13,30,56,119968.1930541992,55555,,-12.61,49.99,30.06748962402344,106.6989898681641
2024,12,28,13,30,58,119983.7341308594,55555,,-12.77,49.92,30.06754875183105,106.6991424560547
2024,12,28,13,31,0,120080.8181762695,55555,,-13.03,49.88,30.06760787963867,106.6992950439453
2024,12,28,13,31,2,119841.30859375,55555,,-13.03,49.88,30.06766891479492,106.6994476318359
2024,12,28,13,31,4,119952.880859375,55555,,-13.03,49.88,30.06772613525391,106.699592590332
2024,12,28,13,31,6,119987.2131347656,55555,,-13.03,49.88,30.06778717041016,106.6997451782227
2024,12,28,13,31,8,119955.7723999023,55555,,-13.03,49.88,30.06784629821777,106.6998977661133
2024,12,28,13,31,10,119962.2802734375,55555,,-13.03,49.88,30.06790733337402,106.7000503540039
2024,12,28,13,31,12,119918.2891845703,55555,,-12.57,49.93,30.06795883178711,106.7001876831055
2024,12,28,13,31,14,120046.9818115234,55555,,-13.94,49.94,30.06801414489746,106.7002868652344
2024,12,28,13,31,16,119899.7116088867,55555,,-12.41,50.1,30.06812286376953,106.7003936767578
2024,12,28,13,31,18,119943.5348510742,55555,,-12.51,50.01,30.06823348999023,106.7005004882812
2024,12,28,13,31,20,119972.0916748047,55555,,-12.59,49.97,30.06834030151367,106.7006149291992
2024,12,28,13,31,22,119956.4743041992,55555,,-12.69,49.92,30.06845092773438,106.7007217407227
2024,12,28,13,31,24,119969.352722168,55555,,-12.69,49.92,30.0685863494873,106.7008590698242
