DATE_year,DATE_month,DATE_day,DATE_hour,DATE_minute,DATE_second,GPS_alt,APEN_z,GIMS_roll,GIMS_pitch,GIM1_ym,APEG_gla,APEG_glo
2024,12,28,13,35,58,119.985817,,,-10.46,4.91,30.08419418,106.711441
2024,12,28,13,36,0,119.981926,,,-10.46,4.91,30.08419609,106.711441
2024,12,28,13,36,2,119.9812088,,,-10.01,4.81,30.08419418,106.711441
2024,12,28,13,36,4,119.9747849,,,-9.92,4.77,30.08419418,106.711441
2024,12,28,13,36,6,120.01091,,,-9.92,4.77,30.08419418,106.7114487
2024,12,28,13,36,8,119.99823,,,-9.92,4.77,30.08419418,106.7114487
2024,12,28,13,36,10,119.9629059,,,-9.92,4.77,30.08419418,106.711441
2024,12,28,13,36,12,119.9789276,,,-9.92,4.77,30.08419418,106.7114487
2024,12,28,13,36,14,120.0531921,,,-9.78,4.68,30.08419418,106.711441
2024,12,28,13,36,16,119.9957352,,,-9.78,4.68,30.08419418,106.711441
2024,12,28,13,36,18,120.0052643,,,-10.05,4.69,30.08419418,106.711441
2024,12,28,13,36,20,120.0202484,,,-10.05,4.62,30.08419418,106.7114487
2024,12,28,13,36,22,119.9900513,,,-10.07,4.66,30.08419418,106.711441
2024,12,28,13,36,25,120.0506821,,,-10.02,4.64,30.08419418,106.711441
2024,12,28,13,36,27,120.0318146,,,-10.02,4.64,30.08419609,106.711441
2024,12,28,13,36,29,120.0137787,,,-10.02,4.64,30.08419609,106.711441
2024,12,28,13,36,31,119.9718094,,,-10.02,4.64,30.08419609,106.711441
2024,12,28,13,36,33,119.97229,,,-10.02,4.64,30.08419609,106.711441
2024,12,28,13,36,35,120.0394821,,,-10.02,4.64,30.08419609,106.711441
2024,12,28,13,36,37,119.9968872,,,-10.02,4.64,30.08419418,106.711441
2024,12,28,13,36,39,120.0148849,,,-10.02,4.64,30.08419609,106.711441
2024,12,28,13,36,41,120.0068588,,,-10.02,4.64,30.08419609,106.711441
2024,12,28,13,36,43,120.0400391,,,-10.02,4.64,30.08419418,106.711441
2024,12,28,13,36,45,120.0118484,,,-10.04,4.49,30.08419609,106.711441
2024,12,28,13,36,47,120.052124,,,-9.91,4.5,30.08419609,106.711441
2024,12,28,13,36,49,120.0172119,,,-9.91,4.5,30.08419609,106.711441
2024,12,28,13,36,51,120.0344162,,,-10.33,4.58,30.08419418,106.711441
2024,12,28,13,36,53,120.0231018,,,-10.33,4.58,30.08419418,106.711441
2024,12,28,13,36,55,120.0158768,,,-10.33,4.58,30.08419418,106.711441
2024,12,28,13,36,57,119.989006,,,-10.32,4.64,30.08419418,106.711441
2024,12,28,13,36,59,119.9887161,,,-10.25,4.7,30.08419418,106.711441
2024,12,28,13,37,1,120.0338058,,,-10.31,4.73,30.08419418,106.711441
2024,12,28,13,37,3,119.9921341,,,-10.34,4.75,30.08419418,106.711441
2024,12,28,13,37,5,120.0531387,,,-10.42,4.72,30.08419418,106.711441
